Matrix_Size_N,CUDA_Version,Kernel_Method,Optimization_Class,Numeric_Format,Thread_Block_Config,Shared_K_Step,Elapsed_Time_s,Measured_GFLOPS,Baseline_NaiveCUDA_Time_s,Speedup_vs_NaiveCUDA,Configuration_Details,BestSeq_Time_s_Exact,BestSeq_Source_Exact,Speedup_vs_BestSeq_Exact,BestSeq_Time_s_AllN,BestSeq_Baseline_Status,BestSeq_Source_AllN,Speedup_vs_BestSeq_AllN,Config_Label
6144,version1_naive_f32,Naive CUDA Kernel,Global Memory,FP32,32x32,,0.757958,611.981,0.757958,1.0,"block=32x32, FP32",8.84394,icx -O3 Ultimate,11.668114,8.84394,Exact,icx -O3 Ultimate,11.668114,32x32
8192,version1_naive_f32,Naive CUDA Kernel,Global Memory,FP32,32x32,,1.71531,640.999,1.71531,1.0,"block=32x32, FP32",44.16918,icx -O3 Ultimate,25.749969,44.16918,Exact,icx -O3 Ultimate,25.749969,32x32
10240,version1_naive_f32,Naive CUDA Kernel,Global Memory,FP32,32x32,,3.646901,588.852,3.646901,1.0,"block=32x32, FP32",40.857508,icx -O3 Align,11.20335,40.857508,Exact,icx -O3 Align,11.20335,32x32
12288,version1_naive_f32,Naive CUDA Kernel,Global Memory,FP32,32x32,,6.983239,531.394,6.983239,1.0,"block=32x32, FP32",132.828198,icx -O3 Tiling tile=32,19.021001,132.828198,Exact,icx -O3 Tiling tile=32,19.021001,32x32
15000,version1_naive_f32,Naive CUDA Kernel,Global Memory,FP32,32x16,,16.159418,417.713,16.159418,1.0,"block=32x16, FP32",,,,241.613085,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),14.951843,32x16
16400,version1_naive_f32,Naive CUDA Kernel,Global Memory,FP32,32x16,,20.001188,441.068,20.001188,1.0,"block=32x16, FP32",,,,315.775344,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),15.787829,32x16
6144,version2_naive_f64,Naive CUDA Kernel,Global Memory,FP64,16x16,,2.632401,176.21,2.632401,1.0,"block=16x16, FP64",8.84394,icx -O3 Ultimate,3.359648,8.84394,Exact,icx -O3 Ultimate,3.359648,16x16
8192,version2_naive_f64,Naive CUDA Kernel,Global Memory,FP64,16x16,,6.281164,175.049,6.281164,1.0,"block=16x16, FP64",44.16918,icx -O3 Ultimate,7.032006,44.16918,Exact,icx -O3 Ultimate,7.032006,16x16
10240,version2_naive_f64,Naive CUDA Kernel,Global Memory,FP64,16x16,,12.782178,168.006,12.782178,1.0,"block=16x16, FP64",40.857508,icx -O3 Align,3.196443,40.857508,Exact,icx -O3 Align,3.196443,16x16
12288,version2_naive_f64,Naive CUDA Kernel,Global Memory,FP64,16x16,,25.228928,147.087,25.228928,1.0,"block=16x16, FP64",132.828198,icx -O3 Tiling tile=32,5.264916,132.828198,Exact,icx -O3 Tiling tile=32,5.264916,16x16
15000,version2_naive_f64,Naive CUDA Kernel,Global Memory,FP64,16x16,,52.49193,128.591,52.49193,1.0,"block=16x16, FP64",,,,241.613085,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),4.602862,16x16
16400,version2_naive_f64,Naive CUDA Kernel,Global Memory,FP64,16x16,,65.043125,135.631,65.043125,1.0,"block=16x16, FP64",,,,315.775344,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),4.854861,16x16
6144,version3_tiled_shared_f32,Shared Memory Tiled Kernel,Shared Memory,FP32,32x32,96.0,0.646634,717.34,0.757958,1.172159,"block=32x32, stagek=96, FP32",8.84394,icx -O3 Ultimate,13.676887,8.84394,Exact,icx -O3 Ultimate,13.676887,"32x32, StageK=96"
8192,version3_tiled_shared_f32,Shared Memory Tiled Kernel,Shared Memory,FP32,32x32,64.0,1.451743,757.374,1.71531,1.181552,"block=32x32, stagek=64, FP32",44.16918,icx -O3 Ultimate,30.424931,44.16918,Exact,icx -O3 Ultimate,30.424931,"32x32, StageK=64"
10240,version3_tiled_shared_f32,Shared Memory Tiled Kernel,Shared Memory,FP32,32x32,96.0,2.86803,748.766,3.646901,1.27157,"block=32x32, stagek=96, FP32",40.857508,icx -O3 Align,14.245844,40.857508,Exact,icx -O3 Align,14.245844,"32x32, StageK=96"
12288,version3_tiled_shared_f32,Shared Memory Tiled Kernel,Shared Memory,FP32,32x32,96.0,4.916138,754.831,6.983239,1.420473,"block=32x32, stagek=96, FP32",132.828198,icx -O3 Tiling tile=32,27.01881,132.828198,Exact,icx -O3 Tiling tile=32,27.01881,"32x32, StageK=96"
15000,version3_tiled_shared_f32,Shared Memory Tiled Kernel,Shared Memory,FP32,32x32,96.0,9.091042,742.489,16.159418,1.77751,"block=32x32, stagek=96, FP32",,,,241.613085,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),26.577051,"32x32, StageK=96"
16400,version3_tiled_shared_f32,Shared Memory Tiled Kernel,Shared Memory,FP32,32x32,96.0,11.943673,738.624,20.001188,1.674626,"block=32x32, stagek=96, FP32",,,,315.775344,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),26.438713,"32x32, StageK=96"
6144,version4_cublas_f32_reference,cuBLAS Library Reference,Library,FP32,Library,,0.179448,2584.902,0.757958,4.223831,"Library, FP32",8.84394,icx -O3 Ultimate,49.284138,8.84394,Exact,icx -O3 Ultimate,49.284138,Library
8192,version4_cublas_f32_reference,cuBLAS Library Reference,Library,FP32,Library,,0.285384,3852.744,1.71531,6.010533,"Library, FP32",44.16918,icx -O3 Ultimate,154.771045,44.16918,Exact,icx -O3 Ultimate,154.771045,Library
10240,version4_cublas_f32_reference,cuBLAS Library Reference,Library,FP32,Library,,0.489814,4384.288,3.646901,7.445481,"Library, FP32",40.857508,icx -O3 Align,83.414333,40.857508,Exact,icx -O3 Align,83.414333,Library
12288,version4_cublas_f32_reference,cuBLAS Library Reference,Library,FP32,Library,,0.851124,4359.944,6.983239,8.204726,"Library, FP32",132.828198,icx -O3 Tiling tile=32,156.062099,132.828198,Exact,icx -O3 Tiling tile=32,156.062099,Library
15000,version4_cublas_f32_reference,cuBLAS Library Reference,Library,FP32,Library,,1.664056,4056.353,16.159418,9.710862,"Library, FP32",,,,241.613085,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),145.195285,Library
16400,version4_cublas_f32_reference,cuBLAS Library Reference,Library,FP32,Library,,2.096333,4208.247,20.001188,9.541036,"Library, FP32",,,,315.775344,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),150.632244,Library
6144,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,16x16,16.0,1.946007,238.363,2.632401,1.352719,"block=16x16, stagek=16, FP64",8.84394,icx -O3 Ultimate,4.54466,8.84394,Exact,icx -O3 Ultimate,4.54466,"16x16, StageK=16"
8192,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,16x16,16.0,4.718378,233.027,6.281164,1.331213,"block=16x16, stagek=16, FP64",44.16918,icx -O3 Ultimate,9.361094,44.16918,Exact,icx -O3 Ultimate,9.361094,"16x16, StageK=16"
10240,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,16x16,16.0,9.658116,222.35,12.782178,1.323465,"block=16x16, stagek=16, FP64",40.857508,icx -O3 Align,4.230381,40.857508,Exact,icx -O3 Align,4.230381,"16x16, StageK=16"
12288,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,32x32,16.0,18.110471,204.901,25.228928,1.393058,"block=32x32, stagek=16, FP64",132.828198,icx -O3 Tiling tile=32,7.334332,132.828198,Exact,icx -O3 Tiling tile=32,7.334332,"32x32, StageK=16"
15000,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,32x32,16.0,33.23951,203.072,52.49193,1.579203,"block=32x32, stagek=16, FP64",,,,241.613085,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),7.268852,"32x32, StageK=16"
16400,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,32x32,16.0,43.330062,203.597,65.043125,1.501109,"block=32x32, stagek=16, FP64",,,,315.775344,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),7.287673,"32x32, StageK=16"
6144,version6_cublas_f64_reference,cuBLAS Library Reference,Library,FP64,Library,,1.928705,240.501,2.632401,1.364854,"Library, FP64",8.84394,icx -O3 Ultimate,4.585429,8.84394,Exact,icx -O3 Ultimate,4.585429,Library
8192,version6_cublas_f64_reference,cuBLAS Library Reference,Library,FP64,Library,,4.451712,246.986,6.281164,1.410955,"Library, FP64",44.16918,icx -O3 Ultimate,9.921841,44.16918,Exact,icx -O3 Ultimate,9.921841,Library
10240,version6_cublas_f64_reference,cuBLAS Library Reference,Library,FP64,Library,,8.565581,250.711,12.782178,1.492272,"Library, FP64",40.857508,icx -O3 Align,4.769963,40.857508,Exact,icx -O3 Align,4.769963,Library
12288,version6_cublas_f64_reference,cuBLAS Library Reference,Library,FP64,Library,,14.963864,247.988,25.228928,1.68599,"Library, FP64",132.828198,icx -O3 Tiling tile=32,8.876598,132.828198,Exact,icx -O3 Tiling tile=32,8.876598,Library
15000,version6_cublas_f64_reference,cuBLAS Library Reference,Library,FP64,Library,,27.380266,246.528,52.49193,1.917145,"Library, FP64",,,,241.613085,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),8.824351,Library
16400,version6_cublas_f64_reference,cuBLAS Library Reference,Library,FP64,Library,,35.491238,248.565,65.043125,1.832653,"Library, FP64",,,,315.775344,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),8.897276,Library
